Key,RprtDt,SrvcDstrctNm,DsbltyGrpNm,AgeBnd,SuppCatg,PrtcpntCnt
77625,30JUN2022,Other,Autism,55 to 64,ALL,5
77626,30JUN2022,Other,Autism,55 to 64,Capacity Building,5
77628,30JUN2022,Other,Autism,55 to 64,Core,5
77633,30JUN2022,Other,Autism,7 to 14,ALL,384
77634,30JUN2022,Other,Autism,7 to 14,Capacity Building,380
77635,30JUN2022,Other,Autism,7 to 14,Capital,16
77636,30JUN2022,Other,Autism,7 to 14,Core,294
77637,30JUN2022,Other,Autism,ALL,ALL,656
77638,30JUN2022,Other,Autism,ALL,Capacity Building,651
77639,30JUN2022,Other,Autism,ALL,Capital,33
77640,30JUN2022,Other,Autism,ALL,Core,508
77641,30JUN2022,Other,Cerebral Palsy,0 to 6,ALL,13
77642,30JUN2022,Other,Cerebral Palsy,0 to 6,Capacity Building,13
77643,30JUN2022,Other,Cerebral Palsy,0 to 6,Capital,5
77644,30JUN2022,Other,Cerebral Palsy,0 to 6,Core,13
77645,30JUN2022,Other,Cerebral Palsy,15 to 18,ALL,5
77646,30JUN2022,Other,Cerebral Palsy,15 to 18,Capacity Building,5
77647,30JUN2022,Other,Cerebral Palsy,15 to 18,Capital,5
77648,30JUN2022,Other,Cerebral Palsy,15 to 18,Core,5
77649,30JUN2022,Other,Cerebral Palsy,19 to 24,ALL,5
77650,30JUN2022,Other,Cerebral Palsy,19 to 24,Capacity Building,5
77651,30JUN2022,Other,Cerebral Palsy,19 to 24,Capital,5
77652,30JUN2022,Other,Cerebral Palsy,19 to 24,Core,5
77653,30JUN2022,Other,Cerebral Palsy,25 to 34,ALL,12
77654,30JUN2022,Other,Cerebral Palsy,25 to 34,Capacity Building,12
77655,30JUN2022,Other,Cerebral Palsy,25 to 34,Capital,5
77656,30JUN2022,Other,Cerebral Palsy,25 to 34,Core,12
77657,30JUN2022,Other,Cerebral Palsy,35 to 44,ALL,5
77658,30JUN2022,Other,Cerebral Palsy,35 to 44,Capacity Building,5
77659,30JUN2022,Other,Cerebral Palsy,35 to 44,Capital,5
77660,30JUN2022,Other,Cerebral Palsy,35 to 44,Core,5
77661,30JUN2022,Other,Cerebral Palsy,45 to 54,ALL,5
77662,30JUN2022,Other,Cerebral Palsy,45 to 54,Capacity Building,5
77663,30JUN2022,Other,Cerebral Palsy,45 to 54,Capital,5
77664,30JUN2022,Other,Cerebral Palsy,45 to 54,Core,5
77665,30JUN2022,Other,Cerebral Palsy,55 to 64,ALL,5
77666,30JUN2022,Other,Cerebral Palsy,55 to 64,Capacity Building,5
77667,30JUN2022,Other,Cerebral Palsy,55 to 64,Capital,5
77668,30JUN2022,Other,Cerebral Palsy,55 to 64,Core,5
77669,30JUN2022,Other,Cerebral Palsy,65+,ALL,5
77670,30JUN2022,Other,Cerebral Palsy,65+,Capacity Building,5
77671,30JUN2022,Other,Cerebral Palsy,65+,Capital,5
77672,30JUN2022,Other,Cerebral Palsy,65+,Core,5
77673,30JUN2022,Other,Cerebral Palsy,7 to 14,ALL,22
77674,30JUN2022,Other,Cerebral Palsy,7 to 14,Capacity Building,26
77675,30JUN2022,Other,Cerebral Palsy,7 to 14,Capital,16
77676,30JUN2022,Other,Cerebral Palsy,7 to 14,Core,20
77677,30JUN2022,Other,Cerebral Palsy,ALL,ALL,82
77678,30JUN2022,Other,Cerebral Palsy,ALL,Capacity Building,82
77679,30JUN2022,Other,Cerebral Palsy,ALL,Capital,66
77680,30JUN2022,Other,Cerebral Palsy,ALL,Core,78
77681,30JUN2022,Other,Developmental delay,0 to 6,ALL,117
77682,30JUN2022,Other,Developmental delay,0 to 6,Capacity Building,119
77683,30JUN2022,Other,Developmental delay,0 to 6,Capital,5
77684,30JUN2022,Other,Developmental delay,0 to 6,Core,83
77713,30JUN2022,Other,Developmental delay,7 to 14,ALL,11
77714,30JUN2022,Other,Developmental delay,7 to 14,Capacity Building,14
77715,30JUN2022,Other,Developmental delay,7 to 14,Capital,5
77716,30JUN2022,Other,Developmental delay,7 to 14,Core,5
77717,30JUN2022,Other,Developmental delay,ALL,ALL,128
77718,30JUN2022,Other,Developmental delay,ALL,Capacity Building,128
77719,30JUN2022,Other,Developmental delay,ALL,Capital,5
77720,30JUN2022,Other,Developmental delay,ALL,Core,89
77721,30JUN2022,Other,Global developmental delay,0 to 6,ALL,46
77722,30JUN2022,Other,Global developmental delay,0 to 6,Capacity Building,42
77723,30JUN2022,Other,Global developmental delay,0 to 6,Capital,5
77724,30JUN2022,Other,Global developmental delay,0 to 6,Core,27
77753,30JUN2022,Other,Global developmental delay,7 to 14,ALL,34
77754,30JUN2022,Other,Global developmental delay,7 to 14,Capacity Building,39
77755,30JUN2022,Other,Global developmental delay,7 to 14,Capital,5
77756,30JUN2022,Other,Global developmental delay,7 to 14,Core,18
77757,30JUN2022,Other,Global developmental delay,ALL,ALL,80
77758,30JUN2022,Other,Global developmental delay,ALL,Capacity Building,80
77759,30JUN2022,Other,Global developmental delay,ALL,Capital,5
77760,30JUN2022,Other,Global developmental delay,ALL,Core,51
77761,30JUN2022,Other,Hearing Impairment,0 to 6,ALL,11
77762,30JUN2022,Other,Hearing Impairment,0 to 6,Capacity Building,12
77763,30JUN2022,Other,Hearing Impairment,0 to 6,Capital,5
77764,30JUN2022,Other,Hearing Impairment,0 to 6,Core,5
77765,30JUN2022,Other,Hearing Impairment,15 to 18,ALL,5
77766,30JUN2022,Other,Hearing Impairment,15 to 18,Capacity Building,5
77767,30JUN2022,Other,Hearing Impairment,15 to 18,Capital,5
77768,30JUN2022,Other,Hearing Impairment,15 to 18,Core,5
77769,30JUN2022,Other,Hearing Impairment,19 to 24,ALL,5
77770,30JUN2022,Other,Hearing Impairment,19 to 24,Capacity Building,5
77771,30JUN2022,Other,Hearing Impairment,19 to 24,Capital,5
77772,30JUN2022,Other,Hearing Impairment,19 to 24,Core,5
77773,30JUN2022,Other,Hearing Impairment,25 to 34,ALL,12
77774,30JUN2022,Other,Hearing Impairment,25 to 34,Capacity Building,12
77775,30JUN2022,Other,Hearing Impairment,25 to 34,Capital,5
77776,30JUN2022,Other,Hearing Impairment,25 to 34,Core,12
77777,30JUN2022,Other,Hearing Impairment,35 to 44,ALL,5
77778,30JUN2022,Other,Hearing Impairment,35 to 44,Capacity Building,5
77779,30JUN2022,Other,Hearing Impairment,35 to 44,Capital,5
77780,30JUN2022,Other,Hearing Impairment,35 to 44,Core,5
77781,30JUN2022,Other,Hearing Impairment,45 to 54,ALL,5
77782,30JUN2022,Other,Hearing Impairment,45 to 54,Capacity Building,5
77783,30JUN2022,Other,Hearing Impairment,45 to 54,Capital,5
77784,30JUN2022,Other,Hearing Impairment,45 to 54,Core,5
77785,30JUN2022,Other,Hearing Impairment,55 to 64,ALL,5
77786,30JUN2022,Other,Hearing Impairment,55 to 64,Capacity Building,5
77788,30JUN2022,Other,Hearing Impairment,55 to 64,Core,5
77789,30JUN2022,Other,Hearing Impairment,65+,ALL,5
77790,30JUN2022,Other,Hearing Impairment,65+,Capacity Building,5
77791,30JUN2022,Other,Hearing Impairment,65+,Capital,5
77792,30JUN2022,Other,Hearing Impairment,65+,Core,5
77793,30JUN2022,Other,Hearing Impairment,7 to 14,ALL,25
77794,30JUN2022,Other,Hearing Impairment,7 to 14,Capacity Building,23
77795,30JUN2022,Other,Hearing Impairment,7 to 14,Capital,5
77796,30JUN2022,Other,Hearing Impairment,7 to 14,Core,22
77797,30JUN2022,Other,Hearing Impairment,ALL,ALL,82
77798,30JUN2022,Other,Hearing Impairment,ALL,Capacity Building,82
77799,30JUN2022,Other,Hearing Impairment,ALL,Capital,25
77800,30JUN2022,Other,Hearing Impairment,ALL,Core,81
77801,30JUN2022,Other,Intellectual Disability,0 to 6,ALL,25
77802,30JUN2022,Other,Intellectual Disability,0 to 6,Capacity Building,25
77803,30JUN2022,Other,Intellectual Disability,0 to 6,Capital,5
77804,30JUN2022,Other,Intellectual Disability,0 to 6,Core,23
77805,30JUN2022,Other,Intellectual Disability,15 to 18,ALL,71
77806,30JUN2022,Other,Intellectual Disability,15 to 18,Capacity Building,71
77807,30JUN2022,Other,Intellectual Disability,15 to 18,Capital,5
77808,30JUN2022,Other,Intellectual Disability,15 to 18,Core,46
77809,30JUN2022,Other,Intellectual Disability,19 to 24,ALL,116
77810,30JUN2022,Other,Intellectual Disability,19 to 24,Capacity Building,117
77811,30JUN2022,Other,Intellectual Disability,19 to 24,Capital,5
77812,30JUN2022,Other,Intellectual Disability,19 to 24,Core,102
77813,30JUN2022,Other,Intellectual Disability,25 to 34,ALL,80
77814,30JUN2022,Other,Intellectual Disability,25 to 34,Capacity Building,82
77815,30JUN2022,Other,Intellectual Disability,25 to 34,Capital,12
77816,30JUN2022,Other,Intellectual Disability,25 to 34,Core,76
77817,30JUN2022,Other,Intellectual Disability,35 to 44,ALL,56
77818,30JUN2022,Other,Intellectual Disability,35 to 44,Capacity Building,52
77819,30JUN2022,Other,Intellectual Disability,35 to 44,Capital,5
77820,30JUN2022,Other,Intellectual Disability,35 to 44,Core,48
77821,30JUN2022,Other,Intellectual Disability,45 to 54,ALL,33
77822,30JUN2022,Other,Intellectual Disability,45 to 54,Capacity Building,36
77823,30JUN2022,Other,Intellectual Disability,45 to 54,Capital,5
77824,30JUN2022,Other,Intellectual Disability,45 to 54,Core,37
77825,30JUN2022,Other,Intellectual Disability,55 to 64,ALL,21
77826,30JUN2022,Other,Intellectual Disability,55 to 64,Capacity Building,25
77827,30JUN2022,Other,Intellectual Disability,55 to 64,Capital,5
77828,30JUN2022,Other,Intellectual Disability,55 to 64,Core,20
77829,30JUN2022,Other,Intellectual Disability,65+,ALL,5
77830,30JUN2022,Other,Intellectual Disability,65+,Capacity Building,5
77832,30JUN2022,Other,Intellectual Disability,65+,Core,5
77833,30JUN2022,Other,Intellectual Disability,7 to 14,ALL,99
77834,30JUN2022,Other,Intellectual Disability,7 to 14,Capacity Building,97
77835,30JUN2022,Other,Intellectual Disability,7 to 14,Capital,24
77836,30JUN2022,Other,Intellectual Disability,7 to 14,Core,82
77837,30JUN2022,Other,Intellectual Disability,ALL,ALL,503
77838,30JUN2022,Other,Intellectual Disability,ALL,Capacity Building,502
77839,30JUN2022,Other,Intellectual Disability,ALL,Capital,76
77840,30JUN2022,Other,Intellectual Disability,ALL,Core,440
77853,30JUN2022,Other,Multiple Sclerosis,25 to 34,ALL,5
77854,30JUN2022,Other,Multiple Sclerosis,25 to 34,Capacity Building,5
77855,30JUN2022,Other,Multiple Sclerosis,25 to 34,Capital,5
77856,30JUN2022,Other,Multiple Sclerosis,25 to 34,Core,5
77857,30JUN2022,Other,Multiple Sclerosis,35 to 44,ALL,5
77858,30JUN2022,Other,Multiple Sclerosis,35 to 44,Capacity Building,5
77859,30JUN2022,Other,Multiple Sclerosis,35 to 44,Capital,5
77860,30JUN2022,Other,Multiple Sclerosis,35 to 44,Core,5
77861,30JUN2022,Other,Multiple Sclerosis,45 to 54,ALL,5
77862,30JUN2022,Other,Multiple Sclerosis,45 to 54,Capacity Building,5
77863,30JUN2022,Other,Multiple Sclerosis,45 to 54,Capital,5
77864,30JUN2022,Other,Multiple Sclerosis,45 to 54,Core,5
77865,30JUN2022,Other,Multiple Sclerosis,55 to 64,ALL,5
77866,30JUN2022,Other,Multiple Sclerosis,55 to 64,Capacity Building,5
77867,30JUN2022,Other,Multiple Sclerosis,55 to 64,Capital,5
77868,30JUN2022,Other,Multiple Sclerosis,55 to 64,Core,5
77877,30JUN2022,Other,Multiple Sclerosis,ALL,ALL,16
77878,30JUN2022,Other,Multiple Sclerosis,ALL,Capacity Building,16
77879,30JUN2022,Other,Multiple Sclerosis,ALL,Capital,11
77880,30JUN2022,Other,Multiple Sclerosis,ALL,Core,16
77881,30JUN2022,Other,Other,0 to 6,ALL,5
77882,30JUN2022,Other,Other,0 to 6,Capacity Building,5
77884,30JUN2022,Other,Other,0 to 6,Core,5
77885,30JUN2022,Other,Other,15 to 18,ALL,5
77886,30JUN2022,Other,Other,15 to 18,Capacity Building,5
77887,30JUN2022,Other,Other,15 to 18,Capital,5
77888,30JUN2022,Other,Other,15 to 18,Core,5
77889,30JUN2022,Other,Other,19 to 24,ALL,5
77890,30JUN2022,Other,Other,19 to 24,Capacity Building,5
77891,30JUN2022,Other,Other,19 to 24,Capital,5
77892,30JUN2022,Other,Other,19 to 24,Core,5
77893,30JUN2022,Other,Other,25 to 34,ALL,5
77894,30JUN2022,Other,Other,25 to 34,Capacity Building,5
77895,30JUN2022,Other,Other,25 to 34,Capital,5
77896,30JUN2022,Other,Other,25 to 34,Core,5
77897,30JUN2022,Other,Other,35 to 44,ALL,12
77898,30JUN2022,Other,Other,35 to 44,Capacity Building,12
77899,30JUN2022,Other,Other,35 to 44,Capital,5
77900,30JUN2022,Other,Other,35 to 44,Core,12
77901,30JUN2022,Other,Other,45 to 54,ALL,12
77902,30JUN2022,Other,Other,45 to 54,Capacity Building,12
77903,30JUN2022,Other,Other,45 to 54,Capital,5
77904,30JUN2022,Other,Other,45 to 54,Core,14
77905,30JUN2022,Other,Other,55 to 64,ALL,13
77906,30JUN2022,Other,Other,55 to 64,Capacity Building,13
77907,30JUN2022,Other,Other,55 to 64,Capital,5
77908,30JUN2022,Other,Other,55 to 64,Core,13
77909,30JUN2022,Other,Other,65+,ALL,5
77910,30JUN2022,Other,Other,65+,Capacity Building,5
77911,30JUN2022,Other,Other,65+,Capital,5
77912,30JUN2022,Other,Other,65+,Core,5
77913,30JUN2022,Other,Other,7 to 14,ALL,5
77914,30JUN2022,Other,Other,7 to 14,Capacity Building,5
77915,30JUN2022,Other,Other,7 to 14,Capital,5
77916,30JUN2022,Other,Other,7 to 14,Core,5
77917,30JUN2022,Other,Other,ALL,ALL,54
77918,30JUN2022,Other,Other,ALL,Capacity Building,54
77919,30JUN2022,Other,Other,ALL,Capital,36
77920,30JUN2022,Other,Other,ALL,Core,52
77921,30JUN2022,Other,Other Neurological,0 to 6,ALL,5
77922,30JUN2022,Other,Other Neurological,0 to 6,Capacity Building,5
77923,30JUN2022,Other,Other Neurological,0 to 6,Capital,5
77924,30JUN2022,Other,Other Neurological,0 to 6,Core,5
77925,30JUN2022,Other,Other Neurological,15 to 18,ALL,5
77926,30JUN2022,Other,Other Neurological,15 to 18,Capacity Building,5
77927,30JUN2022,Other,Other Neurological,15 to 18,Capital,5
77928,30JUN2022,Other,Other Neurological,15 to 18,Core,5
77929,30JUN2022,Other,Other Neurological,19 to 24,ALL,5
77930,30JUN2022,Other,Other Neurological,19 to 24,Capacity Building,5
77931,30JUN2022,Other,Other Neurological,19 to 24,Capital,5
77932,30JUN2022,Other,Other Neurological,19 to 24,Core,5
77933,30JUN2022,Other,Other Neurological,25 to 34,ALL,11
77934,30JUN2022,Other,Other Neurological,25 to 34,Capacity Building,13
77935,30JUN2022,Other,Other Neurological,25 to 34,Capital,5
77936,30JUN2022,Other,Other Neurological,25 to 34,Core,13
77937,30JUN2022,Other,Other Neurological,35 to 44,ALL,5
77938,30JUN2022,Other,Other Neurological,35 to 44,Capacity Building,5
77939,30JUN2022,Other,Other Neurological,35 to 44,Capital,5
77940,30JUN2022,Other,Other Neurological,35 to 44,Core,5
77941,30JUN2022,Other,Other Neurological,45 to 54,ALL,12
77942,30JUN2022,Other,Other Neurological,45 to 54,Capacity Building,12
77943,30JUN2022,Other,Other Neurological,45 to 54,Capital,5
77944,30JUN2022,Other,Other Neurological,45 to 54,Core,14
77945,30JUN2022,Other,Other Neurological,55 to 64,ALL,25
77946,30JUN2022,Other,Other Neurological,55 to 64,Capacity Building,21
77947,30JUN2022,Other,Other Neurological,55 to 64,Capital,13
77948,30JUN2022,Other,Other Neurological,55 to 64,Core,24
77949,30JUN2022,Other,Other Neurological,65+,ALL,5
77950,30JUN2022,Other,Other Neurological,65+,Capacity Building,5
77951,30JUN2022,Other,Other Neurological,65+,Capital,5
77952,30JUN2022,Other,Other Neurological,65+,Core,5
77953,30JUN2022,Other,Other Neurological,7 to 14,ALL,5
77954,30JUN2022,Other,Other Neurological,7 to 14,Capacity Building,5
77955,30JUN2022,Other,Other Neurological,7 to 14,Capital,5
77956,30JUN2022,Other,Other Neurological,7 to 14,Core,5
77957,30JUN2022,Other,Other Neurological,ALL,ALL,99
77958,30JUN2022,Other,Other Neurological,ALL,Capacity Building,99
77959,30JUN2022,Other,Other Neurological,ALL,Capital,49
77960,30JUN2022,Other,Other Neurological,ALL,Core,91
77961,30JUN2022,Other,Other Physical,0 to 6,ALL,5
77962,30JUN2022,Other,Other Physical,0 to 6,Capacity Building,5
77963,30JUN2022,Other,Other Physical,0 to 6,Capital,5
77964,30JUN2022,Other,Other Physical,0 to 6,Core,5
77965,30JUN2022,Other,Other Physical,15 to 18,ALL,5
77966,30JUN2022,Other,Other Physical,15 to 18,Capacity Building,5
77967,30JUN2022,Other,Other Physical,15 to 18,Capital,5
77968,30JUN2022,Other,Other Physical,15 to 18,Core,5
77969,30JUN2022,Other,Other Physical,19 to 24,ALL,5
77970,30JUN2022,Other,Other Physical,19 to 24,Capacity Building,5
77971,30JUN2022,Other,Other Physical,19 to 24,Capital,5
77972,30JUN2022,Other,Other Physical,19 to 24,Core,5
77973,30JUN2022,Other,Other Physical,25 to 34,ALL,5
77974,30JUN2022,Other,Other Physical,25 to 34,Capacity Building,5
77975,30JUN2022,Other,Other Physical,25 to 34,Capital,5
77976,30JUN2022,Other,Other Physical,25 to 34,Core,5
77977,30JUN2022,Other,Other Physical,35 to 44,ALL,11
77978,30JUN2022,Other,Other Physical,35 to 44,Capacity Building,14
77979,30JUN2022,Other,Other Physical,35 to 44,Capital,5
77980,30JUN2022,Other,Other Physical,35 to 44,Core,13
77981,30JUN2022,Other,Other Physical,45 to 54,ALL,23
77982,30JUN2022,Other,Other Physical,45 to 54,Capacity Building,18
77983,30JUN2022,Other,Other Physical,45 to 54,Capital,18
77984,30JUN2022,Other,Other Physical,45 to 54,Core,17
77985,30JUN2022,Other,Other Physical,55 to 64,ALL,17
77986,30JUN2022,Other,Other Physical,55 to 64,Capacity Building,22
77987,30JUN2022,Other,Other Physical,55 to 64,Capital,14
77988,30JUN2022,Other,Other Physical,55 to 64,Core,17
77989,30JUN2022,Other,Other Physical,65+,ALL,5
77990,30JUN2022,Other,Other Physical,65+,Capacity Building,5
77991,30JUN2022,Other,Other Physical,65+,Capital,5
77992,30JUN2022,Other,Other Physical,65+,Core,5
77993,30JUN2022,Other,Other Physical,7 to 14,ALL,5
77994,30JUN2022,Other,Other Physical,7 to 14,Capacity Building,5
77995,30JUN2022,Other,Other Physical,7 to 14,Capital,5
77996,30JUN2022,Other,Other Physical,7 to 14,Core,5
77997,30JUN2022,Other,Other Physical,ALL,ALL,81
77998,30JUN2022,Other,Other Physical,ALL,Capacity Building,81
77999,30JUN2022,Other,Other Physical,ALL,Capital,59
78000,30JUN2022,Other,Other Physical,ALL,Core,78
78001,30JUN2022,Other,Other Sensory/Speech,0 to 6,ALL,5
78002,30JUN2022,Other,Other Sensory/Speech,0 to 6,Capacity Building,5
78017,30JUN2022,Other,Other Sensory/Speech,35 to 44,ALL,5
78018,30JUN2022,Other,Other Sensory/Speech,35 to 44,Capacity Building,5
78020,30JUN2022,Other,Other Sensory/Speech,35 to 44,Core,5
78025,30JUN2022,Other,Other Sensory/Speech,55 to 64,ALL,5
78026,30JUN2022,Other,Other Sensory/Speech,55 to 64,Capacity Building,5
78028,30JUN2022,Other,Other Sensory/Speech,55 to 64,Core,5
78033,30JUN2022,Other,Other Sensory/Speech,7 to 14,ALL,5
78034,30JUN2022,Other,Other Sensory/Speech,7 to 14,Capacity Building,5
78035,30JUN2022,Other,Other Sensory/Speech,7 to 14,Capital,5
78036,30JUN2022,Other,Other Sensory/Speech,7 to 14,Core,5
78037,30JUN2022,Other,Other Sensory/Speech,ALL,ALL,5
78038,30JUN2022,Other,Other Sensory/Speech,ALL,Capacity Building,5
78039,30JUN2022,Other,Other Sensory/Speech,ALL,Capital,5
78040,30JUN2022,Other,Other Sensory/Speech,ALL,Core,5
78045,30JUN2022,Other,Psychosocial disability,15 to 18,ALL,5
78046,30JUN2022,Other,Psychosocial disability,15 to 18,Capacity Building,5
78048,30JUN2022,Other,Psychosocial disability,15 to 18,Core,5
78049,30JUN2022,Other,Psychosocial disability,19 to 24,ALL,11
78050,30JUN2022,Other,Psychosocial disability,19 to 24,Capacity Building,13
78052,30JUN2022,Other,Psychosocial disability,19 to 24,Core,13
78053,30JUN2022,Other,Psychosocial disability,25 to 34,ALL,58
78054,30JUN2022,Other,Psychosocial disability,25 to 34,Capacity Building,55
78056,30JUN2022,Other,Psychosocial disability,25 to 34,Core,57
78057,30JUN2022,Other,Psychosocial disability,35 to 44,ALL,70
78058,30JUN2022,Other,Psychosocial disability,35 to 44,Capacity Building,69
78059,30JUN2022,Other,Psychosocial disability,35 to 44,Capital,5
78060,30JUN2022,Other,Psychosocial disability,35 to 44,Core,73
78061,30JUN2022,Other,Psychosocial disability,45 to 54,ALL,63
78062,30JUN2022,Other,Psychosocial disability,45 to 54,Capacity Building,61
78063,30JUN2022,Other,Psychosocial disability,45 to 54,Capital,5
78064,30JUN2022,Other,Psychosocial disability,45 to 54,Core,67
78065,30JUN2022,Other,Psychosocial disability,55 to 64,ALL,32
78066,30JUN2022,Other,Psychosocial disability,55 to 64,Capacity Building,29
78067,30JUN2022,Other,Psychosocial disability,55 to 64,Capital,5
78068,30JUN2022,Other,Psychosocial disability,55 to 64,Core,33
78069,30JUN2022,Other,Psychosocial disability,65+,ALL,5
78070,30JUN2022,Other,Psychosocial disability,65+,Capacity Building,5
78072,30JUN2022,Other,Psychosocial disability,65+,Core,5
78073,30JUN2022,Other,Psychosocial disability,7 to 14,ALL,5
78074,30JUN2022,Other,Psychosocial disability,7 to 14,Capacity Building,5
78077,30JUN2022,Other,Psychosocial disability,ALL,ALL,238
78078,30JUN2022,Other,Psychosocial disability,ALL,Capacity Building,238
78079,30JUN2022,Other,Psychosocial disability,ALL,Capital,5
78080,30JUN2022,Other,Psychosocial disability,ALL,Core,233
78085,30JUN2022,Other,Spinal Cord Injury,15 to 18,ALL,5
78086,30JUN2022,Other,Spinal Cord Injury,15 to 18,Capacity Building,5
78087,30JUN2022,Other,Spinal Cord Injury,15 to 18,Capital,5
78088,30JUN2022,Other,Spinal Cord Injury,15 to 18,Core,5
78089,30JUN2022,Other,Spinal Cord Injury,19 to 24,ALL,5
78090,30JUN2022,Other,Spinal Cord Injury,19 to 24,Capacity Building,5
78091,30JUN2022,Other,Spinal Cord Injury,19 to 24,Capital,5
78092,30JUN2022,Other,Spinal Cord Injury,19 to 24,Core,5
78093,30JUN2022,Other,Spinal Cord Injury,25 to 34,ALL,5
78094,30JUN2022,Other,Spinal Cord Injury,25 to 34,Capacity Building,5
78095,30JUN2022,Other,Spinal Cord Injury,25 to 34,Capital,5
78096,30JUN2022,Other,Spinal Cord Injury,25 to 34,Core,5
78097,30JUN2022,Other,Spinal Cord Injury,35 to 44,ALL,5
78098,30JUN2022,Other,Spinal Cord Injury,35 to 44,Capacity Building,5
78099,30JUN2022,Other,Spinal Cord Injury,35 to 44,Capital,5
78100,30JUN2022,Other,Spinal Cord Injury,35 to 44,Core,5
78101,30JUN2022,Other,Spinal Cord Injury,45 to 54,ALL,5
78102,30JUN2022,Other,Spinal Cord Injury,45 to 54,Capacity Building,5
78103,30JUN2022,Other,Spinal Cord Injury,45 to 54,Capital,5
78104,30JUN2022,Other,Spinal Cord Injury,45 to 54,Core,5
78105,30JUN2022,Other,Spinal Cord Injury,55 to 64,ALL,5
78106,30JUN2022,Other,Spinal Cord Injury,55 to 64,Capacity Building,5
78107,30JUN2022,Other,Spinal Cord Injury,55 to 64,Capital,5
78108,30JUN2022,Other,Spinal Cord Injury,55 to 64,Core,5
78109,30JUN2022,Other,Spinal Cord Injury,65+,ALL,5
78110,30JUN2022,Other,Spinal Cord Injury,65+,Capacity Building,5
78111,30JUN2022,Other,Spinal Cord Injury,65+,Capital,5
78112,30JUN2022,Other,Spinal Cord Injury,65+,Core,5
78117,30JUN2022,Other,Spinal Cord Injury,ALL,ALL,35
78118,30JUN2022,Other,Spinal Cord Injury,ALL,Capacity Building,35
78119,30JUN2022,Other,Spinal Cord Injury,ALL,Capital,32
78120,30JUN2022,Other,Spinal Cord Injury,ALL,Core,35
78137,30JUN2022,Other,Stroke,35 to 44,ALL,5
78138,30JUN2022,Other,Stroke,35 to 44,Capacity Building,5
78139,30JUN2022,Other,Stroke,35 to 44,Capital,5
78140,30JUN2022,Other,Stroke,35 to 44,Core,5
78141,30JUN2022,Other,Stroke,45 to 54,ALL,11
78142,30JUN2022,Other,Stroke,45 to 54,Capacity Building,14
78143,30JUN2022,Other,Stroke,45 to 54,Capital,5
78144,30JUN2022,Other,Stroke,45 to 54,Core,14
78145,30JUN2022,Other,Stroke,55 to 64,ALL,30
78146,30JUN2022,Other,Stroke,55 to 64,Capacity Building,32
78147,30JUN2022,Other,Stroke,55 to 64,Capital,21
78148,30JUN2022,Other,Stroke,55 to 64,Core,34
78149,30JUN2022,Other,Stroke,65+,ALL,5
78150,30JUN2022,Other,Stroke,65+,Capacity Building,5
78151,30JUN2022,Other,Stroke,65+,Capital,5
78152,30JUN2022,Other,Stroke,65+,Core,5
78157,30JUN2022,Other,Stroke,ALL,ALL,48
78158,30JUN2022,Other,Stroke,ALL,Capacity Building,48
78159,30JUN2022,Other,Stroke,ALL,Capital,37
78160,30JUN2022,Other,Stroke,ALL,Core,48
78161,30JUN2022,Other,Visual Impairment,0 to 6,ALL,5
78162,30JUN2022,Other,Visual Impairment,0 to 6,Capacity Building,5
78164,30JUN2022,Other,Visual Impairment,0 to 6,Core,5
78165,30JUN2022,Other,Visual Impairment,15 to 18,ALL,5
78166,30JUN2022,Other,Visual Impairment,15 to 18,Capacity Building,5
78167,30JUN2022,Other,Visual Impairment,15 to 18,Capital,5
78168,30JUN2022,Other,Visual Impairment,15 to 18,Core,5
78169,30JUN2022,Other,Visual Impairment,19 to 24,ALL,5
78170,30JUN2022,Other,Visual Impairment,19 to 24,Capacity Building,5
78171,30JUN2022,Other,Visual Impairment,19 to 24,Capital,5
78172,30JUN2022,Other,Visual Impairment,19 to 24,Core,5
78173,30JUN2022,Other,Visual Impairment,25 to 34,ALL,5
78174,30JUN2022,Other,Visual Impairment,25 to 34,Capacity Building,5
78175,30JUN2022,Other,Visual Impairment,25 to 34,Capital,5
78176,30JUN2022,Other,Visual Impairment,25 to 34,Core,5
78177,30JUN2022,Other,Visual Impairment,35 to 44,ALL,5
78178,30JUN2022,Other,Visual Impairment,35 to 44,Capacity Building,5
78179,30JUN2022,Other,Visual Impairment,35 to 44,Capital,5
78180,30JUN2022,Other,Visual Impairment,35 to 44,Core,5
78181,30JUN2022,Other,Visual Impairment,45 to 54,ALL,5
78182,30JUN2022,Other,Visual Impairment,45 to 54,Capacity Building,5
78183,30JUN2022,Other,Visual Impairment,45 to 54,Capital,5
78184,30JUN2022,Other,Visual Impairment,45 to 54,Core,5
78185,30JUN2022,Other,Visual Impairment,55 to 64,ALL,5
78186,30JUN2022,Other,Visual Impairment,55 to 64,Capacity Building,5
78187,30JUN2022,Other,Visual Impairment,55 to 64,Capital,5
78188,30JUN2022,Other,Visual Impairment,55 to 64,Core,5
78189,30JUN2022,Other,Visual Impairment,65+,ALL,5
78190,30JUN2022,Other,Visual Impairment,65+,Capacity Building,5
78191,30JUN2022,Other,Visual Impairment,65+,Capital,5
78192,30JUN2022,Other,Visual Impairment,65+,Core,5
78193,30JUN2022,Other,Visual Impairment,7 to 14,ALL,5
78194,30JUN2022,Other,Visual Impairment,7 to 14,Capacity Building,5
