Key,RprtDt,SrvcDstrctNm,DsbltyGrpNm,AgeBnd,SuppCatg,Utlstn,PrvdrCnt
75097,30JUN2022,Kimberley-Pilbara,Intellectual Disability,35 to 44,ALL,66,
75098,30JUN2022,Kimberley-Pilbara,Intellectual Disability,35 to 44,Capacity Building,39,
75100,30JUN2022,Kimberley-Pilbara,Intellectual Disability,35 to 44,Core,71,
75257,30JUN2022,Kimberley-Pilbara,Other Physical,35 to 44,ALL,59,
75258,30JUN2022,Kimberley-Pilbara,Other Physical,35 to 44,Capacity Building,55,
75337,30JUN2022,Kimberley-Pilbara,Psychosocial disability,35 to 44,ALL,36,
75338,30JUN2022,Kimberley-Pilbara,Psychosocial disability,35 to 44,Capacity Building,27,
75340,30JUN2022,Kimberley-Pilbara,Psychosocial disability,35 to 44,Core,40,
74821,30JUN2022,Kimberley-Pilbara,ABI,45 to 54,ALL,83,
74822,30JUN2022,Kimberley-Pilbara,ABI,45 to 54,Capacity Building,51,
74824,30JUN2022,Kimberley-Pilbara,ABI,45 to 54,Core,89,
74861,30JUN2022,Kimberley-Pilbara,ALL,45 to 54,ALL,60,
74862,30JUN2022,Kimberley-Pilbara,ALL,45 to 54,Capacity Building,43,
74863,30JUN2022,Kimberley-Pilbara,ALL,45 to 54,Capital,31,
74864,30JUN2022,Kimberley-Pilbara,ALL,45 to 54,Core,65,
75101,30JUN2022,Kimberley-Pilbara,Intellectual Disability,45 to 54,ALL,77,
75102,30JUN2022,Kimberley-Pilbara,Intellectual Disability,45 to 54,Capacity Building,63,
75104,30JUN2022,Kimberley-Pilbara,Intellectual Disability,45 to 54,Core,79,
75261,30JUN2022,Kimberley-Pilbara,Other Physical,45 to 54,ALL,29,
75262,30JUN2022,Kimberley-Pilbara,Other Physical,45 to 54,Capacity Building,46,
75263,30JUN2022,Kimberley-Pilbara,Other Physical,45 to 54,Capital,6,
75264,30JUN2022,Kimberley-Pilbara,Other Physical,45 to 54,Core,27,
75341,30JUN2022,Kimberley-Pilbara,Psychosocial disability,45 to 54,ALL,38,
75342,30JUN2022,Kimberley-Pilbara,Psychosocial disability,45 to 54,Capacity Building,28,
75344,30JUN2022,Kimberley-Pilbara,Psychosocial disability,45 to 54,Core,41,
74825,30JUN2022,Kimberley-Pilbara,ABI,55 to 64,ALL,58,
74826,30JUN2022,Kimberley-Pilbara,ABI,55 to 64,Capacity Building,64,
74827,30JUN2022,Kimberley-Pilbara,ABI,55 to 64,Capital,51,
74828,30JUN2022,Kimberley-Pilbara,ABI,55 to 64,Core,57,
74865,30JUN2022,Kimberley-Pilbara,ALL,55 to 64,ALL,50,
74866,30JUN2022,Kimberley-Pilbara,ALL,55 to 64,Capacity Building,56,
74867,30JUN2022,Kimberley-Pilbara,ALL,55 to 64,Capital,31,
74868,30JUN2022,Kimberley-Pilbara,ALL,55 to 64,Core,50,
75225,30JUN2022,Kimberley-Pilbara,Other Neurological,55 to 64,ALL,46,
75226,30JUN2022,Kimberley-Pilbara,Other Neurological,55 to 64,Capacity Building,66,
75228,30JUN2022,Kimberley-Pilbara,Other Neurological,55 to 64,Core,39,
75265,30JUN2022,Kimberley-Pilbara,Other Physical,55 to 64,ALL,46,
75266,30JUN2022,Kimberley-Pilbara,Other Physical,55 to 64,Capacity Building,58,
75267,30JUN2022,Kimberley-Pilbara,Other Physical,55 to 64,Capital,49,
75268,30JUN2022,Kimberley-Pilbara,Other Physical,55 to 64,Core,39,
75345,30JUN2022,Kimberley-Pilbara,Psychosocial disability,55 to 64,ALL,57,
75346,30JUN2022,Kimberley-Pilbara,Psychosocial disability,55 to 64,Capacity Building,60,
75348,30JUN2022,Kimberley-Pilbara,Psychosocial disability,55 to 64,Core,57,
75425,30JUN2022,Kimberley-Pilbara,Stroke,55 to 64,ALL,45,
75426,30JUN2022,Kimberley-Pilbara,Stroke,55 to 64,Capacity Building,43,
75427,30JUN2022,Kimberley-Pilbara,Stroke,55 to 64,Capital,7,
75428,30JUN2022,Kimberley-Pilbara,Stroke,55 to 64,Core,48,
74869,30JUN2022,Kimberley-Pilbara,ALL,65+,ALL,53,
74870,30JUN2022,Kimberley-Pilbara,ALL,65+,Capacity Building,47,
74871,30JUN2022,Kimberley-Pilbara,ALL,65+,Capital,81,
74872,30JUN2022,Kimberley-Pilbara,ALL,65+,Core,53,
74873,30JUN2022,Kimberley-Pilbara,ALL,7 to 14,ALL,52,
74874,30JUN2022,Kimberley-Pilbara,ALL,7 to 14,Capacity Building,49,
74875,30JUN2022,Kimberley-Pilbara,ALL,7 to 14,Capital,39,
74876,30JUN2022,Kimberley-Pilbara,ALL,7 to 14,Core,63,
74913,30JUN2022,Kimberley-Pilbara,Autism,7 to 14,ALL,54,
74914,30JUN2022,Kimberley-Pilbara,Autism,7 to 14,Capacity Building,51,
74915,30JUN2022,Kimberley-Pilbara,Autism,7 to 14,Capital,17,
74916,30JUN2022,Kimberley-Pilbara,Autism,7 to 14,Core,63,
74953,30JUN2022,Kimberley-Pilbara,Cerebral Palsy,7 to 14,ALL,50,
74954,30JUN2022,Kimberley-Pilbara,Cerebral Palsy,7 to 14,Capacity Building,50,
74955,30JUN2022,Kimberley-Pilbara,Cerebral Palsy,7 to 14,Capital,61,
74956,30JUN2022,Kimberley-Pilbara,Cerebral Palsy,7 to 14,Core,45,
75033,30JUN2022,Kimberley-Pilbara,Global developmental delay,7 to 14,ALL,45,
75034,30JUN2022,Kimberley-Pilbara,Global developmental delay,7 to 14,Capacity Building,42,
75036,30JUN2022,Kimberley-Pilbara,Global developmental delay,7 to 14,Core,62,
75073,30JUN2022,Kimberley-Pilbara,Hearing Impairment,7 to 14,ALL,35,
75074,30JUN2022,Kimberley-Pilbara,Hearing Impairment,7 to 14,Capacity Building,28,
75076,30JUN2022,Kimberley-Pilbara,Hearing Impairment,7 to 14,Core,49,
75113,30JUN2022,Kimberley-Pilbara,Intellectual Disability,7 to 14,ALL,52,
75114,30JUN2022,Kimberley-Pilbara,Intellectual Disability,7 to 14,Capacity Building,50,
75115,30JUN2022,Kimberley-Pilbara,Intellectual Disability,7 to 14,Capital,13,
75116,30JUN2022,Kimberley-Pilbara,Intellectual Disability,7 to 14,Core,69,
74837,30JUN2022,Kimberley-Pilbara,ABI,ALL,ALL,73,
74838,30JUN2022,Kimberley-Pilbara,ABI,ALL,Capacity Building,53,
74839,30JUN2022,Kimberley-Pilbara,ABI,ALL,Capital,48,
74840,30JUN2022,Kimberley-Pilbara,ABI,ALL,Core,77,
74877,30JUN2022,Kimberley-Pilbara,ALL,ALL,ALL,56,
74878,30JUN2022,Kimberley-Pilbara,ALL,ALL,Capacity Building,45,
74879,30JUN2022,Kimberley-Pilbara,ALL,ALL,Capital,43,
74880,30JUN2022,Kimberley-Pilbara,ALL,ALL,Core,63,
74917,30JUN2022,Kimberley-Pilbara,Autism,ALL,ALL,54,
74918,30JUN2022,Kimberley-Pilbara,Autism,ALL,Capacity Building,50,
74919,30JUN2022,Kimberley-Pilbara,Autism,ALL,Capital,27,
74920,30JUN2022,Kimberley-Pilbara,Autism,ALL,Core,64,
74957,30JUN2022,Kimberley-Pilbara,Cerebral Palsy,ALL,ALL,68,
74958,30JUN2022,Kimberley-Pilbara,Cerebral Palsy,ALL,Capacity Building,55,
74959,30JUN2022,Kimberley-Pilbara,Cerebral Palsy,ALL,Capital,60,
74960,30JUN2022,Kimberley-Pilbara,Cerebral Palsy,ALL,Core,76,
74997,30JUN2022,Kimberley-Pilbara,Developmental delay,ALL,ALL,48,
74998,30JUN2022,Kimberley-Pilbara,Developmental delay,ALL,Capacity Building,47,
75000,30JUN2022,Kimberley-Pilbara,Developmental delay,ALL,Core,49,
75037,30JUN2022,Kimberley-Pilbara,Global developmental delay,ALL,ALL,49,
75038,30JUN2022,Kimberley-Pilbara,Global developmental delay,ALL,Capacity Building,49,
75040,30JUN2022,Kimberley-Pilbara,Global developmental delay,ALL,Core,48,
75077,30JUN2022,Kimberley-Pilbara,Hearing Impairment,ALL,ALL,33,
75078,30JUN2022,Kimberley-Pilbara,Hearing Impairment,ALL,Capacity Building,30,
75079,30JUN2022,Kimberley-Pilbara,Hearing Impairment,ALL,Capital,4,
75080,30JUN2022,Kimberley-Pilbara,Hearing Impairment,ALL,Core,37,
75117,30JUN2022,Kimberley-Pilbara,Intellectual Disability,ALL,ALL,60,
75118,30JUN2022,Kimberley-Pilbara,Intellectual Disability,ALL,Capacity Building,40,
75119,30JUN2022,Kimberley-Pilbara,Intellectual Disability,ALL,Capital,15,
75120,30JUN2022,Kimberley-Pilbara,Intellectual Disability,ALL,Core,71,
75197,30JUN2022,Kimberley-Pilbara,Other,ALL,ALL,21,
75198,30JUN2022,Kimberley-Pilbara,Other,ALL,Capacity Building,32,
75199,30JUN2022,Kimberley-Pilbara,Other,ALL,Capital,57,
75200,30JUN2022,Kimberley-Pilbara,Other,ALL,Core,9,
75237,30JUN2022,Kimberley-Pilbara,Other Neurological,ALL,ALL,60,
75238,30JUN2022,Kimberley-Pilbara,Other Neurological,ALL,Capacity Building,50,
75239,30JUN2022,Kimberley-Pilbara,Other Neurological,ALL,Capital,66,
75240,30JUN2022,Kimberley-Pilbara,Other Neurological,ALL,Core,63,
75277,30JUN2022,Kimberley-Pilbara,Other Physical,ALL,ALL,51,
75278,30JUN2022,Kimberley-Pilbara,Other Physical,ALL,Capacity Building,57,
75279,30JUN2022,Kimberley-Pilbara,Other Physical,ALL,Capital,36,
75280,30JUN2022,Kimberley-Pilbara,Other Physical,ALL,Core,53,
75357,30JUN2022,Kimberley-Pilbara,Psychosocial disability,ALL,ALL,41,
75358,30JUN2022,Kimberley-Pilbara,Psychosocial disability,ALL,Capacity Building,33,
75360,30JUN2022,Kimberley-Pilbara,Psychosocial disability,ALL,Core,45,
75397,30JUN2022,Kimberley-Pilbara,Spinal Cord Injury,ALL,ALL,55,
75398,30JUN2022,Kimberley-Pilbara,Spinal Cord Injury,ALL,Capacity Building,52,
75399,30JUN2022,Kimberley-Pilbara,Spinal Cord Injury,ALL,Capital,52,
75400,30JUN2022,Kimberley-Pilbara,Spinal Cord Injury,ALL,Core,56,
75437,30JUN2022,Kimberley-Pilbara,Stroke,ALL,ALL,50,
75438,30JUN2022,Kimberley-Pilbara,Stroke,ALL,Capacity Building,47,
75439,30JUN2022,Kimberley-Pilbara,Stroke,ALL,Capital,20,
75440,30JUN2022,Kimberley-Pilbara,Stroke,ALL,Core,52,
75477,30JUN2022,Kimberley-Pilbara,Visual Impairment,ALL,ALL,57,
75478,30JUN2022,Kimberley-Pilbara,Visual Impairment,ALL,Capacity Building,39,
75479,30JUN2022,Kimberley-Pilbara,Visual Impairment,ALL,Capital,20,
75480,30JUN2022,Kimberley-Pilbara,Visual Impairment,ALL,Core,66,
75521,30JUN2022,Midwest-Gascoyne,ALL,0 to 6,ALL,57,
75522,30JUN2022,Midwest-Gascoyne,ALL,0 to 6,Capacity Building,55,
75524,30JUN2022,Midwest-Gascoyne,ALL,0 to 6,Core,90,
75561,30JUN2022,Midwest-Gascoyne,Autism,0 to 6,ALL,62,
75562,30JUN2022,Midwest-Gascoyne,Autism,0 to 6,Capacity Building,61,
75564,30JUN2022,Midwest-Gascoyne,Autism,0 to 6,Core,77,
75641,30JUN2022,Midwest-Gascoyne,Developmental delay,0 to 6,ALL,48,
75642,30JUN2022,Midwest-Gascoyne,Developmental delay,0 to 6,Capacity Building,49,
75644,30JUN2022,Midwest-Gascoyne,Developmental delay,0 to 6,Core,65,
75681,30JUN2022,Midwest-Gascoyne,Global developmental delay,0 to 6,ALL,37,
75682,30JUN2022,Midwest-Gascoyne,Global developmental delay,0 to 6,Capacity Building,35,
75525,30JUN2022,Midwest-Gascoyne,ALL,15 to 18,ALL,48,
75526,30JUN2022,Midwest-Gascoyne,ALL,15 to 18,Capacity Building,39,
75528,30JUN2022,Midwest-Gascoyne,ALL,15 to 18,Core,61,
75565,30JUN2022,Midwest-Gascoyne,Autism,15 to 18,ALL,47,
75566,30JUN2022,Midwest-Gascoyne,Autism,15 to 18,Capacity Building,39,
75568,30JUN2022,Midwest-Gascoyne,Autism,15 to 18,Core,58,
75765,30JUN2022,Midwest-Gascoyne,Intellectual Disability,15 to 18,ALL,51,
75766,30JUN2022,Midwest-Gascoyne,Intellectual Disability,15 to 18,Capacity Building,39,
75768,30JUN2022,Midwest-Gascoyne,Intellectual Disability,15 to 18,Core,66,
75529,30JUN2022,Midwest-Gascoyne,ALL,19 to 24,ALL,61,
75530,30JUN2022,Midwest-Gascoyne,ALL,19 to 24,Capacity Building,40,
75531,30JUN2022,Midwest-Gascoyne,ALL,19 to 24,Capital,18,
75532,30JUN2022,Midwest-Gascoyne,ALL,19 to 24,Core,69,
75569,30JUN2022,Midwest-Gascoyne,Autism,19 to 24,ALL,58,
75570,30JUN2022,Midwest-Gascoyne,Autism,19 to 24,Capacity Building,38,
75572,30JUN2022,Midwest-Gascoyne,Autism,19 to 24,Core,67,
75769,30JUN2022,Midwest-Gascoyne,Intellectual Disability,19 to 24,ALL,63,
75770,30JUN2022,Midwest-Gascoyne,Intellectual Disability,19 to 24,Capacity Building,38,
75772,30JUN2022,Midwest-Gascoyne,Intellectual Disability,19 to 24,Core,70,
75533,30JUN2022,Midwest-Gascoyne,ALL,25 to 34,ALL,72,
75534,30JUN2022,Midwest-Gascoyne,ALL,25 to 34,Capacity Building,48,
75535,30JUN2022,Midwest-Gascoyne,ALL,25 to 34,Capital,44,
75536,30JUN2022,Midwest-Gascoyne,ALL,25 to 34,Core,78,
75573,30JUN2022,Midwest-Gascoyne,Autism,25 to 34,ALL,51,
75574,30JUN2022,Midwest-Gascoyne,Autism,25 to 34,Capacity Building,53,
75576,30JUN2022,Midwest-Gascoyne,Autism,25 to 34,Core,50,
75773,30JUN2022,Midwest-Gascoyne,Intellectual Disability,25 to 34,ALL,76,
75774,30JUN2022,Midwest-Gascoyne,Intellectual Disability,25 to 34,Capacity Building,48,
75776,30JUN2022,Midwest-Gascoyne,Intellectual Disability,25 to 34,Core,81,
76013,30JUN2022,Midwest-Gascoyne,Psychosocial disability,25 to 34,ALL,47,
76014,30JUN2022,Midwest-Gascoyne,Psychosocial disability,25 to 34,Capacity Building,47,
76016,30JUN2022,Midwest-Gascoyne,Psychosocial disability,25 to 34,Core,47,
75537,30JUN2022,Midwest-Gascoyne,ALL,35 to 44,ALL,65,
75538,30JUN2022,Midwest-Gascoyne,ALL,35 to 44,Capacity Building,50,
75539,30JUN2022,Midwest-Gascoyne,ALL,35 to 44,Capital,59,
75540,30JUN2022,Midwest-Gascoyne,ALL,35 to 44,Core,69,
75777,30JUN2022,Midwest-Gascoyne,Intellectual Disability,35 to 44,ALL,70,
75778,30JUN2022,Midwest-Gascoyne,Intellectual Disability,35 to 44,Capacity Building,45,
75780,30JUN2022,Midwest-Gascoyne,Intellectual Disability,35 to 44,Core,73,
76017,30JUN2022,Midwest-Gascoyne,Psychosocial disability,35 to 44,ALL,46,
76018,30JUN2022,Midwest-Gascoyne,Psychosocial disability,35 to 44,Capacity Building,52,
76020,30JUN2022,Midwest-Gascoyne,Psychosocial disability,35 to 44,Core,42,
75541,30JUN2022,Midwest-Gascoyne,ALL,45 to 54,ALL,67,
75542,30JUN2022,Midwest-Gascoyne,ALL,45 to 54,Capacity Building,52,
75543,30JUN2022,Midwest-Gascoyne,ALL,45 to 54,Capital,58,
75544,30JUN2022,Midwest-Gascoyne,ALL,45 to 54,Core,72,
75781,30JUN2022,Midwest-Gascoyne,Intellectual Disability,45 to 54,ALL,77,
75782,30JUN2022,Midwest-Gascoyne,Intellectual Disability,45 to 54,Capacity Building,64,
75784,30JUN2022,Midwest-Gascoyne,Intellectual Disability,45 to 54,Core,78,
75941,30JUN2022,Midwest-Gascoyne,Other Physical,45 to 54,ALL,66,
75942,30JUN2022,Midwest-Gascoyne,Other Physical,45 to 54,Capacity Building,69,
75944,30JUN2022,Midwest-Gascoyne,Other Physical,45 to 54,Core,66,
76021,30JUN2022,Midwest-Gascoyne,Psychosocial disability,45 to 54,ALL,63,
76022,30JUN2022,Midwest-Gascoyne,Psychosocial disability,45 to 54,Capacity Building,47,
76024,30JUN2022,Midwest-Gascoyne,Psychosocial disability,45 to 54,Core,70,
75545,30JUN2022,Midwest-Gascoyne,ALL,55 to 64,ALL,67,
75546,30JUN2022,Midwest-Gascoyne,ALL,55 to 64,Capacity Building,64,
75547,30JUN2022,Midwest-Gascoyne,ALL,55 to 64,Capital,38,
75548,30JUN2022,Midwest-Gascoyne,ALL,55 to 64,Core,71,
75785,30JUN2022,Midwest-Gascoyne,Intellectual Disability,55 to 64,ALL,74,
75786,30JUN2022,Midwest-Gascoyne,Intellectual Disability,55 to 64,Capacity Building,65,
75788,30JUN2022,Midwest-Gascoyne,Intellectual Disability,55 to 64,Core,75,
75905,30JUN2022,Midwest-Gascoyne,Other Neurological,55 to 64,ALL,47,
75906,30JUN2022,Midwest-Gascoyne,Other Neurological,55 to 64,Capacity Building,52,
75908,30JUN2022,Midwest-Gascoyne,Other Neurological,55 to 64,Core,43,
75945,30JUN2022,Midwest-Gascoyne,Other Physical,55 to 64,ALL,66,
75946,30JUN2022,Midwest-Gascoyne,Other Physical,55 to 64,Capacity Building,62,
75947,30JUN2022,Midwest-Gascoyne,Other Physical,55 to 64,Capital,30,
75948,30JUN2022,Midwest-Gascoyne,Other Physical,55 to 64,Core,75,
76025,30JUN2022,Midwest-Gascoyne,Psychosocial disability,55 to 64,ALL,73,
76026,30JUN2022,Midwest-Gascoyne,Psychosocial disability,55 to 64,Capacity Building,64,
76028,30JUN2022,Midwest-Gascoyne,Psychosocial disability,55 to 64,Core,76,
75549,30JUN2022,Midwest-Gascoyne,ALL,65+,ALL,59,
75550,30JUN2022,Midwest-Gascoyne,ALL,65+,Capacity Building,48,
75551,30JUN2022,Midwest-Gascoyne,ALL,65+,Capital,79,
75552,30JUN2022,Midwest-Gascoyne,ALL,65+,Core,61,
75553,30JUN2022,Midwest-Gascoyne,ALL,7 to 14,ALL,58,
75554,30JUN2022,Midwest-Gascoyne,ALL,7 to 14,Capacity Building,53,
75555,30JUN2022,Midwest-Gascoyne,ALL,7 to 14,Capital,88,
75556,30JUN2022,Midwest-Gascoyne,ALL,7 to 14,Core,73,
75593,30JUN2022,Midwest-Gascoyne,Autism,7 to 14,ALL,58,
75594,30JUN2022,Midwest-Gascoyne,Autism,7 to 14,Capacity Building,53,
75596,30JUN2022,Midwest-Gascoyne,Autism,7 to 14,Core,77,
75793,30JUN2022,Midwest-Gascoyne,Intellectual Disability,7 to 14,ALL,54,
75794,30JUN2022,Midwest-Gascoyne,Intellectual Disability,7 to 14,Capacity Building,48,
75796,30JUN2022,Midwest-Gascoyne,Intellectual Disability,7 to 14,Core,74,
75517,30JUN2022,Midwest-Gascoyne,ABI,ALL,ALL,66,
75518,30JUN2022,Midwest-Gascoyne,ABI,ALL,Capacity Building,41,
75520,30JUN2022,Midwest-Gascoyne,ABI,ALL,Core,71,
75557,30JUN2022,Midwest-Gascoyne,ALL,ALL,ALL,64,
75558,30JUN2022,Midwest-Gascoyne,ALL,ALL,Capacity Building,51,
75559,30JUN2022,Midwest-Gascoyne,ALL,ALL,Capital,49,
75560,30JUN2022,Midwest-Gascoyne,ALL,ALL,Core,71,
75597,30JUN2022,Midwest-Gascoyne,Autism,ALL,ALL,57,
75598,30JUN2022,Midwest-Gascoyne,Autism,ALL,Capacity Building,52,
75599,30JUN2022,Midwest-Gascoyne,Autism,ALL,Capital,88,
75600,30JUN2022,Midwest-Gascoyne,Autism,ALL,Core,67,
75637,30JUN2022,Midwest-Gascoyne,Cerebral Palsy,ALL,ALL,75,
75638,30JUN2022,Midwest-Gascoyne,Cerebral Palsy,ALL,Capacity Building,53,
75639,30JUN2022,Midwest-Gascoyne,Cerebral Palsy,ALL,Capital,38,
75640,30JUN2022,Midwest-Gascoyne,Cerebral Palsy,ALL,Core,81,
75677,30JUN2022,Midwest-Gascoyne,Developmental delay,ALL,ALL,49,
75678,30JUN2022,Midwest-Gascoyne,Developmental delay,ALL,Capacity Building,50,
75680,30JUN2022,Midwest-Gascoyne,Developmental delay,ALL,Core,60,
75717,30JUN2022,Midwest-Gascoyne,Global developmental delay,ALL,ALL,41,
75718,30JUN2022,Midwest-Gascoyne,Global developmental delay,ALL,Capacity Building,40,
75757,30JUN2022,Midwest-Gascoyne,Hearing Impairment,ALL,ALL,100,
75758,30JUN2022,Midwest-Gascoyne,Hearing Impairment,ALL,Capacity Building,87,
75760,30JUN2022,Midwest-Gascoyne,Hearing Impairment,ALL,Core,100,
75797,30JUN2022,Midwest-Gascoyne,Intellectual Disability,ALL,ALL,69,
75798,30JUN2022,Midwest-Gascoyne,Intellectual Disability,ALL,Capacity Building,45,
75799,30JUN2022,Midwest-Gascoyne,Intellectual Disability,ALL,Capital,62,
75800,30JUN2022,Midwest-Gascoyne,Intellectual Disability,ALL,Core,75,
75837,30JUN2022,Midwest-Gascoyne,Multiple Sclerosis,ALL,ALL,44,
75838,30JUN2022,Midwest-Gascoyne,Multiple Sclerosis,ALL,Capacity Building,55,
75840,30JUN2022,Midwest-Gascoyne,Multiple Sclerosis,ALL,Core,49,
75877,30JUN2022,Midwest-Gascoyne,Other,ALL,ALL,67,
75878,30JUN2022,Midwest-Gascoyne,Other,ALL,Capacity Building,57,
75879,30JUN2022,Midwest-Gascoyne,Other,ALL,Capital,93,
75880,30JUN2022,Midwest-Gascoyne,Other,ALL,Core,62,
75917,30JUN2022,Midwest-Gascoyne,Other Neurological,ALL,ALL,52,
75918,30JUN2022,Midwest-Gascoyne,Other Neurological,ALL,Capacity Building,44,
75919,30JUN2022,Midwest-Gascoyne,Other Neurological,ALL,Capital,59,
75920,30JUN2022,Midwest-Gascoyne,Other Neurological,ALL,Core,54,
75957,30JUN2022,Midwest-Gascoyne,Other Physical,ALL,ALL,62,
75958,30JUN2022,Midwest-Gascoyne,Other Physical,ALL,Capacity Building,59,
75959,30JUN2022,Midwest-Gascoyne,Other Physical,ALL,Capital,45,
75960,30JUN2022,Midwest-Gascoyne,Other Physical,ALL,Core,67,
76037,30JUN2022,Midwest-Gascoyne,Psychosocial disability,ALL,ALL,59,
76038,30JUN2022,Midwest-Gascoyne,Psychosocial disability,ALL,Capacity Building,51,
76040,30JUN2022,Midwest-Gascoyne,Psychosocial disability,ALL,Core,62,
76077,30JUN2022,Midwest-Gascoyne,Spinal Cord Injury,ALL,ALL,69,
76078,30JUN2022,Midwest-Gascoyne,Spinal Cord Injury,ALL,Capacity Building,56,
76079,30JUN2022,Midwest-Gascoyne,Spinal Cord Injury,ALL,Capital,39,
76080,30JUN2022,Midwest-Gascoyne,Spinal Cord Injury,ALL,Core,79,
76117,30JUN2022,Midwest-Gascoyne,Stroke,ALL,ALL,54,
76118,30JUN2022,Midwest-Gascoyne,Stroke,ALL,Capacity Building,67,
76119,30JUN2022,Midwest-Gascoyne,Stroke,ALL,Capital,8,
76120,30JUN2022,Midwest-Gascoyne,Stroke,ALL,Core,57,
76201,30JUN2022,North East Metro,ALL,0 to 6,ALL,69,
76202,30JUN2022,North East Metro,ALL,0 to 6,Capacity Building,65,
76203,30JUN2022,North East Metro,ALL,0 to 6,Capital,63,
76204,30JUN2022,North East Metro,ALL,0 to 6,Core,81,
76241,30JUN2022,North East Metro,Autism,0 to 6,ALL,72,
76242,30JUN2022,North East Metro,Autism,0 to 6,Capacity Building,70,
76243,30JUN2022,North East Metro,Autism,0 to 6,Capital,58,
76244,30JUN2022,North East Metro,Autism,0 to 6,Core,87,
76281,30JUN2022,North East Metro,Cerebral Palsy,0 to 6,ALL,76,
76282,30JUN2022,North East Metro,Cerebral Palsy,0 to 6,Capacity Building,74,
76283,30JUN2022,North East Metro,Cerebral Palsy,0 to 6,Capital,59,
76284,30JUN2022,North East Metro,Cerebral Palsy,0 to 6,Core,85,
76321,30JUN2022,North East Metro,Developmental delay,0 to 6,ALL,64,
76322,30JUN2022,North East Metro,Developmental delay,0 to 6,Capacity Building,61,
76323,30JUN2022,North East Metro,Developmental delay,0 to 6,Capital,65,
76324,30JUN2022,North East Metro,Developmental delay,0 to 6,Core,79,
76361,30JUN2022,North East Metro,Global developmental delay,0 to 6,ALL,65,
76362,30JUN2022,North East Metro,Global developmental delay,0 to 6,Capacity Building,57,
76363,30JUN2022,North East Metro,Global developmental delay,0 to 6,Capital,72,
76364,30JUN2022,North East Metro,Global developmental delay,0 to 6,Core,84,
76401,30JUN2022,North East Metro,Hearing Impairment,0 to 6,ALL,45,
76402,30JUN2022,North East Metro,Hearing Impairment,0 to 6,Capacity Building,43,
76404,30JUN2022,North East Metro,Hearing Impairment,0 to 6,Core,56,
76441,30JUN2022,North East Metro,Intellectual Disability,0 to 6,ALL,69,
76442,30JUN2022,North East Metro,Intellectual Disability,0 to 6,Capacity Building,65,
76443,30JUN2022,North East Metro,Intellectual Disability,0 to 6,Capital,67,
76444,30JUN2022,North East Metro,Intellectual Disability,0 to 6,Core,74,
76205,30JUN2022,North East Metro,ALL,15 to 18,ALL,65,
76206,30JUN2022,North East Metro,ALL,15 to 18,Capacity Building,50,
76207,30JUN2022,North East Metro,ALL,15 to 18,Capital,53,
76208,30JUN2022,North East Metro,ALL,15 to 18,Core,80,
76245,30JUN2022,North East Metro,Autism,15 to 18,ALL,61,
76246,30JUN2022,North East Metro,Autism,15 to 18,Capacity Building,47,
76247,30JUN2022,North East Metro,Autism,15 to 18,Capital,5,
76248,30JUN2022,North East Metro,Autism,15 to 18,Core,77,
76285,30JUN2022,North East Metro,Cerebral Palsy,15 to 18,ALL,64,
76286,30JUN2022,North East Metro,Cerebral Palsy,15 to 18,Capacity Building,62,
76287,30JUN2022,North East Metro,Cerebral Palsy,15 to 18,Capital,66,
76288,30JUN2022,North East Metro,Cerebral Palsy,15 to 18,Core,65,
76405,30JUN2022,North East Metro,Hearing Impairment,15 to 18,ALL,35,
76406,30JUN2022,North East Metro,Hearing Impairment,15 to 18,Capacity Building,45,
76408,30JUN2022,North East Metro,Hearing Impairment,15 to 18,Core,27,
76445,30JUN2022,North East Metro,Intellectual Disability,15 to 18,ALL,70,
76446,30JUN2022,North East Metro,Intellectual Disability,15 to 18,Capacity Building,53,
76447,30JUN2022,North East Metro,Intellectual Disability,15 to 18,Capital,44,
76448,30JUN2022,North East Metro,Intellectual Disability,15 to 18,Core,84,
76565,30JUN2022,North East Metro,Other Neurological,15 to 18,ALL,66,
76566,30JUN2022,North East Metro,Other Neurological,15 to 18,Capacity Building,47,
76568,30JUN2022,North East Metro,Other Neurological,15 to 18,Core,88,
76209,30JUN2022,North East Metro,ALL,19 to 24,ALL,72,
76210,30JUN2022,North East Metro,ALL,19 to 24,Capacity Building,52,
76211,30JUN2022,North East Metro,ALL,19 to 24,Capital,35,
76212,30JUN2022,North East Metro,ALL,19 to 24,Core,79,
76249,30JUN2022,North East Metro,Autism,19 to 24,ALL,72,
76250,30JUN2022,North East Metro,Autism,19 to 24,Capacity Building,48,
76251,30JUN2022,North East Metro,Autism,19 to 24,Capital,22,
76252,30JUN2022,North East Metro,Autism,19 to 24,Core,81,
76289,30JUN2022,North East Metro,Cerebral Palsy,19 to 24,ALL,70,
76290,30JUN2022,North East Metro,Cerebral Palsy,19 to 24,Capacity Building,69,
76291,30JUN2022,North East Metro,Cerebral Palsy,19 to 24,Capital,17,
76292,30JUN2022,North East Metro,Cerebral Palsy,19 to 24,Core,75,
76409,30JUN2022,North East Metro,Hearing Impairment,19 to 24,ALL,35,
76410,30JUN2022,North East Metro,Hearing Impairment,19 to 24,Capacity Building,40,
76412,30JUN2022,North East Metro,Hearing Impairment,19 to 24,Core,34,
76449,30JUN2022,North East Metro,Intellectual Disability,19 to 24,ALL,75,
